Date,Monthly averaged,Annual averaged
12/15/79,337.85,336.85
1/15/80,338.55,337.01584
2/15/80,339.26,337.18
3/15/80,339.59,337.3225
4/15/80,339.99,337.46167
5/15/80,340.44,337.64334
6/15/80,339.99,337.86084
7/15/80,338.44,338.10083
8/15/80,337.21,338.33832
9/15/80,337.05,338.5075
10/15/80,337.83,338.63
11/15/80,338.93,338.76083
12/15/80,339.64,338.91
1/15/81,340.18,339.04584
2/15/81,340.75,339.16998
3/15/81,341.38,339.31915
4/15/81,341.68,339.46
5/15/81,341.43,339.54248
6/15/81,340.63,339.59583
7/15/81,339.22,339.66083
8/15/81,338.08,339.73334
9/15/81,337.98,339.81082
10/15/81,339.07,339.91415
11/15/81,340.18,340.01834
12/15/81,340.75,340.11084
1/15/82,341.37,340.21
2/15/82,341.95,340.31
3/15/82,342.23,340.38083
4/15/82,342.52,340.45084
5/15/82,342.36,340.52832
6/15/82,341.49,340.6
7/15/82,339.75,340.64417
8/15/82,338.11,340.64667
9/15/82,338.16,340.66165
10/15/82,339.61,340.70667
11/15/82,340.95,340.77084
12/15/82,341.77,340.85583
1/15/83,342.37,340.93915
2/15/83,342.74,341.005
3/15/83,343.04,341.0725
4/15/83,343.51,341.155
5/15/83,343.84,341.27832
6/15/83,343.5,341.44583
7/15/83,342.14,341.645
8/15/83,340.62,341.85416
9/15/83,340.53,342.05167
10/15/83,341.75,342.23
11/15/83,342.83,342.38666
12/15/83,343.49,342.53
1/15/84,344.32,342.6925
2/15/84,344.82,342.86584
3/15/84,344.96,343.02582
4/15/84,345.19,343.16583
5/15/84,345.33,343.29
6/15/84,344.57,343.37915
7/15/84,343.2,343.4675
8/15/84,342.21,343.6
9/15/84,342.13,343.73334
10/15/84,342.99,343.83667
11/15/84,344.16,343.9475
12/15/84,345,344.07333
1/15/85,345.35,344.15918
2/15/85,345.8,344.24084
3/15/85,346.64,344.38083
4/15/85,346.94,344.52667
5/15/85,346.78,344.6475
6/15/85,346.26,344.78833
7/15/85,344.92,344.93167
8/15/85,343.41,345.03168
9/15/85,343.37,345.135
10/15/85,344.64,345.2725
11/15/85,345.79,345.40833
12/15/85,346.55,345.5375
1/15/86,347.11,345.68417
2/15/86,347.34,345.8125
3/15/86,347.71,345.90167
4/15/86,348.22,346.00833
5/15/86,348.32,346.13666
6/15/86,347.76,346.26166
7/15/86,346.29,346.37582
8/15/86,344.92,346.50168
9/15/86,344.86,346.62582
10/15/86,346.03,346.74167
11/15/86,347.3,346.8675
12/15/86,347.76,346.96832
1/15/87,348.02,347.04416
2/15/87,348.57,347.14667
3/15/87,349.29,347.27832
4/15/87,349.98,347.425
5/15/87,350.26,347.58667
6/15/87,349.48,347.73
7/15/87,347.86,347.86084
8/15/87,346.61,348.00168
9/15/87,346.7,348.155
10/15/87,347.97,348.31668
11/15/87,349.25,348.47916
12/15/87,350.21,348.68335
1/15/88,350.91,348.92416
2/15/88,351.47,349.16583
3/15/88,351.85,349.37918
4/15/88,352.3,349.5725
5/15/88,352.46,349.75583
6/15/88,351.76,349.94583
7/15/88,350.28,350.1475
8/15/88,349.1,350.355
9/15/88,349.27,350.56915
10/15/88,350.44,350.775
11/15/88,351.61,350.97168
12/15/88,352.46,351.15918
1/15/89,352.99,351.3325
2/15/89,353.45,351.4975
3/15/89,354,351.67667
4/15/89,354.37,351.84915
5/15/89,354.19,351.99335
6/15/89,353.26,352.11835
7/15/89,351.56,352.225
8/15/89,350.21,352.3175
9/15/89,350.56,352.425
10/15/89,351.85,352.5425
11/15/89,353.03,352.66083
12/15/89,353.9,352.78082
1/15/90,354.46,352.90332
2/15/90,354.87,353.02167
3/15/90,355.2,353.12167
4/15/90,355.5,353.21582
5/15/90,355.4,353.31665
6/15/90,354.33,353.40582
7/15/90,352.71,353.50165
8/15/90,351.59,353.61667
9/15/90,351.8,353.72
10/15/90,353.19,353.83167
11/15/90,354.43,353.94833
12/15/90,355.18,354.055
1/15/91,355.76,354.16333
2/15/91,356.19,354.27332
3/15/91,356.68,354.39667
4/15/91,357.19,354.5375
