OBJECTID,ISSUE_DATE,ISSUE_TIME,ISSUING_AGENCY_CODE,ISSUING_AGENCY_NAME,ISSUING_AGENCY_SHORT,VIOLATION_CODE,LOCATION,PLATE_STATE,DISPOSITION_CODE,DISPOSITION_TYPE,DISPOSITION_DATE,FINE_AMOUNT,TOTAL_PAID,PENALTY_1,PENALTY_2,PENALTY_3,PENALTY_4,PENALTY_5,XCOORD,YCOORD,LATITUDE,LONGITUDE,MAR_ID,GIS_LAST_MOD_DTTM,VIOLATION_PROC_DESC,VEHICLE_TYPE,MULTI_OWNER_NUMBER,DISPOSITION_DESC
19015597,2020/06/06 04:00:00+00,,13,DDOT,DDOT,P055,1100 16TH ST NW WEST SIDE, ,,Other,,30,0,,,,,,396789.53,137342.43,38.904,-77.037,243076,2020/07/10 17:37:23+00,NO PARKING ANYTIME,,,
19015598,2020/06/06 04:00:00+00,,13,DDOT,DDOT,P055,1100 16TH ST NW WEST SIDE, ,,Other,,30,0,,,,,,396789.53,137342.43,38.904,-77.037,243076,2020/07/10 17:37:23+00,NO PARKING ANYTIME,,,
19015599,2020/06/06 04:00:00+00,,13,DDOT,DDOT,P001,1100 16TH ST NW WEST SIDE, ,,Other,,50,0,,,,,,396789.53,137342.43,38.904,-77.037,243076,2020/07/10 17:37:23+00,PARK ABREAST OF ANOTHER VEHICLE,,,
19015600,2020/06/06 04:00:00+00,,13,DDOT,DDOT,P001,1100 16TH ST NW WEST SIDE, ,,Other,,50,0,,,,,,396789.53,137342.43,38.904,-77.037,243076,2020/07/10 17:37:23+00,PARK ABREAST OF ANOTHER VEHICLE,,,
19015601,2020/06/27 04:00:00+00,,13,DDOT,DDOT,P014,2200 18TH ST NW EAST SIDE, ,,Other,,50,0,,,,,,396372.44,139005.58,38.919,-77.042,302240,2020/07/10 17:37:23+00,EMERGENCY NO PARKING,,,
19015602,2020/06/27 04:00:00+00,,13,DDOT,DDOT,P014,2200 18TH ST NW EAST SIDE, ,,Other,,50,0,,,,,,396372.44,139005.58,38.919,-77.042,302240,2020/07/10 17:37:23+00,EMERGENCY NO PARKING,,,
19015603,2020/06/27 04:00:00+00,,13,DDOT,DDOT,P014,2200 18TH ST NW EAST SIDE, ,,Other,,50,50,,,,,,396372.44,139005.58,38.919,-77.042,302240,2020/07/10 17:37:23+00,EMERGENCY NO PARKING,,,
19015604,2020/06/27 04:00:00+00,,13,DDOT,DDOT,P014,2200 18TH ST NW EAST SIDE, ,,Other,,50,0,,,,,,396372.44,139005.58,38.919,-77.042,302240,2020/07/10 17:37:23+00,EMERGENCY NO PARKING,,,
19015607,2020/06/03 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,REAR 3030 30TH ST SE, ,,Other,,250,0,,,,,,403023.65,131624.24,38.852,-76.965,41454,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,
19015608,2020/06/03 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P344,REAR 3030 30TH ST SE, ,,Other,,250,0,,,,,,403023.65,131624.24,38.852,-76.965,41454,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,
19015609,2020/06/07 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P029,FRONT 2301 AINGER PL SE, ,,Other,,20,0,,,,,,402301.31,132226.68,38.858,-76.973,286781,2020/07/10 17:37:23+00,PARK WITH LEFT WHEEL TO THE CURB,,,
19015610,2020/06/07 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P010,FRONT 2302 AINGER PL SE, ,,Other,,50,0,,,,,,402316.72,132262.01,38.858,-76.973,286787,2020/07/10 17:37:23+00,OBSTRUCTING CROSSWALK,,,
19015611,2020/06/22 04:00:00+00,,7,METROPOLITAN POLICE DPT-DISTRICT 7,MPD-7D,P303,FRONT 624 BRANDYWINE ST SE, ,,Other,,250,0,,,,,,400202.04,129165.58,38.83,-76.998,3260,2020/07/10 17:37:23+00,RESERVED RESIDENTIAL SPACE PERSONS W/ DISABILTIES,,,
19015612,2020/06/12 04:00:00+00,,4,METROPOLITAN POLICE DPT-DISTRICT 4,MPD-4D,P344,Inside 400 GALLOWAY ST NE  @SOUTH *, ,24,Dismissed,2020/06/22 04:00:00+00,250,0,,,,,,400099.66,142806.25,38.953,-76.999,314559,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,DISMISSED ON MERIT
19015613,2020/06/22 04:00:00+00,,2,METROPOLITAN POLICE DPT-DISTRICT 2,MPD-2D,P344,Parking Lot 3217 WISCONSIN AVE NW, ,,Other,,250,0,,,,,,393745.72,140590.53,38.933,-77.072,223247,2020/07/10 17:37:23+00,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,,,
